0,751348,14980,739.40,45970
1,1860,0,738.14,45970
2,1590,0,736.73,45970
3,2190,180,735.31,45970
4,2190,262,733.91,45970
5,1950,0,732.49,45970
6,1530,0,731.04,45970
7,1290,0,729.55,45970
8,990,0,728.16,45970
9,1800,0,726.78,45970
10,1770,0,725.40,45970
11,2250,0,723.99,45970
12,1740,0,722.60,45970
13,1740,0,721.25,45970
14,1680,0,719.81,45970
15,1980,0,718.40,45970
16,1920,0,717.03,45970
17,1530,0,715.66,45970
18,1800,0,714.30,45970
19,1620,0,712.95,45970
20,1080,0,711.63,45970
21,1590,0,710.24,45970
22,1800,0,708.91,45970
23,2070,0,707.57,45970
24,1470,0,706.22,45970
25,1260,0,704.87,45970
26,960,0,703.56,45970
27,1350,0,702.26,45970
28,1560,0,700.95,45970
29,1470,0,699.66,45970
30,1590,82,698.39,45970
31,1230,0,697.11,45970
32,1530,0,695.82,45970
33,1410,0,694.50,45970
34,1740,0,693.20,45970
35,1740,0,691.95,45970
36,1320,0,690.70,45970
37,1230,0,689.53,45970
38,1470,0,688.37,45970
39,990,0,687.19,45970
40,1950,0,686.03,45970
41,1590,0,684.87,45970
42,1200,0,683.70,45970
43,1410,0,682.53,45970
44,1140,0,681.40,45970
45,1590,0,680.25,45970
46,1500,0,679.10,45970
47,1800,0,677.97,45970
48,1320,0,676.83,45970
49,1560,0,675.71,45970
50,1200,0,674.61,45970
51,1200,0,673.47,45950
52,1470,0,672.32,45918
53,1320,0,671.21,45886
54,1560,0,670.11,45886
55,1890,0,668.99,45822
56,1890,0,667.89,45822
57,1320,0,666.77,45822
58,1320,90,665.66,45822
59,1290,270,664.55,45694
60,1290,0,663.47,45694
61,1320,0,662.33,45694
62,1140,0,661.21,45694
63,1080,0,660.08,45694
64,1560,0,659.05,45694
65,1080,0,658.07,45694
66,1560,0,657.13,45694
67,1530,0,656.16,45437
68,1530,0,655.15,45437
69,1320,0,654.18,45437
70,1860,0,653.22,45438
71,1140,0,652.26,45438
72,1050,0,651.30,45438
73,990,0,650.31,45438
74,1110,0,649.27,45438
75,1230,0,648.27,45438
76,2100,0,647.29,45438
77,1710,0,646.35,45438
78,1290,82,645.40,45438
79,1350,0,644.46,45438
80,780,0,643.52,45438
81,1500,0,642.61,44924
82,1380,0,641.67,44924
83,1590,0,640.70,44924
84,1440,0,639.73,44924
85,1500,0,641.38,44926
86,960,0,643.93,44926
87,1560,0,643.26,44926
